image_url;seller_url;Title;Author
http://ecx.images-amazon.com/images/I/51+Ab7DhdcL._SL160_.jpg;http://www.amazon.co.uk/Our-Backs-Wall-Victory-Defeat/dp/0713998407;With Our Backs to the Wall: Victory and Defeat in 1918;
http://ecx.images-amazon.com/images/I/51FLev7mTrL._SL160_.jpg;http://www.amazon.co.uk/Monty-Rommel-Peter-Caddick-Adams/dp/1848091524/ref=sr_1_1?ie=UTF8&qid=1307273809&sr=8-1;Monty and Rommel: Parallel Lives;Peter Caddick Adams
http://ecx.images-amazon.com/images/I/51X5FU4bmlL._SL160_.jpg;http://www.amazon.co.uk/German-Army-at-Passchendaele/dp/1844155641;The German Army at Passchendaele;
http://ecx.images-amazon.com/images/I/51E0-xym6AL._SL160_.jpg;http://www.amazon.co.uk/German-Army-Ypres-1914/dp/1848841132;The German Army at Ypres 1914;
http://www.lannoo.com/media/dbimages/covers/9789020969726.jpg;http://www.racine.be/content/lannoo/wbnl/listview/1/index.jsp?titelcode=12728&fondsid=5;Slagveld van Wereldoorlog I;
http://librairie.memorialdeverdun.fr/images_produits/0001.jpg;http://librairie.memorialdeverdun.fr/guide-700-musee-14-18-europe,fr,4,0001.cfm;Guide 700 musée 14/18 Europe;S. Hervouet - L. et M. Braeuer
http://www.groeninghedrukkerij.be/Images/Boeken/4f210220-602c-48ff-a356-9c68b22b299c/cover.jpg;http://www.groeninghedrukkerij.be/detail.aspx?bid=4f210220-602c-48ff-a356-9c68b22b299c&cid=05b320c6-a97d-4b93-86c1-62c9dd702b15;;
http://www.groeninghedrukkerij.be/Images/Boeken/b66b2999-9ba6-41cc-ba5a-a42916526227/cover.jpg;http://www.groeninghedrukkerij.be/detail.aspx?bid=b66b2999-9ba6-41cc-ba5a-a42916526227&cid=05b320c6-a97d-4b93-86c1-62c9dd702b15;;
http://www.groeninghedrukkerij.be/Images/Boeken/56aead8f-1000-4d93-a22c-6645f05290d7/cover.jpg;http://www.groeninghedrukkerij.be/detail.aspx?bid=56aead8f-1000-4d93-a22c-6645f05290d7&cid=05b320c6-a97d-4b93-86c1-62c9dd702b15;;
http://www.groeninghedrukkerij.be/Images/Boeken/be935f26-4dd9-4490-8986-08d0b87292a3/cover.jpg;http://www.groeninghedrukkerij.be/detail.aspx?bid=be935f26-4dd9-4490-8986-08d0b87292a3&cid=05b320c6-a97d-4b93-86c1-62c9dd702b15;;
http://ecx.images-amazon.com/images/I/61MssZCHRjL._SL160_.jpg;http://www.amazon.com/Captain-Conan-Joseph-Bruccoli-Great/dp/1570037132;Captain Conan;Roger Vercel
http://www.allenandunwin.com/BookCovers/resized_9781742376165_224_297_FitSquare.jpg;http://www.allenandunwin.com/default.aspx?page=94&book=9781742376165;Both Sides of the Wire;
http://ecx.images-amazon.com/images/I/61nLgmUG0aL._SL160_.jpg;http://www.amazon.co.uk/When-God-Made-Hell-Mesopotamia/dp/0571237193;When God Made Hell: The British Invasion of Mesopotamia and the Creation of Iraq, 1914-1921;Professor Charles Townshend
http://ecx.images-amazon.com/images/I/417JS3CCaOL._SL160_.jpg;http://www.amazon.co.uk/Gallipoli-Peter-Hart/dp/1846681596;Gallipoli;Peter Hart
http://ecx.images-amazon.com/images/I/51VyM8tcgSL._SL160_.jpg;http://www.amazon.com/Handbook-Imperial-Germany-Janet-Robinson/dp/1449021131;Handbook of Imperial Germany;Janet Robinson, Joe Robinson
http://ecx.images-amazon.com/images/I/51piDdObcJL._SL160_.jpg;http://www.amazon.com/Remains-Company-Story-Great-War/dp/0312551002;The Remains of Company D: A Story of the Great War; James Carl Nelson
http://ecx.images-amazon.com/images/I/511Ib7GmQ+L._SL160_.jpg;http://www.amazon.com/White-War-Death-Italian-1915-1919/dp/0571223338;White War: Life and Death on the Italian Front, 1915-1919;Mark Thompson
http://ecx.images-amazon.com/images/I/51QCYSbJnvL._SL160_.jpg;http://www.amazon.de/Erste-Weltkrieg-Ur-Katastrophe-Jahrhunderts-SPIEGEL-Buch/dp/3423345128;Der Erste Weltkrieg: Die Ur-Katastrophe des 20. Jahrhunderts Ein SPIEGEL-Buch;Klaus Wiegrefe, Stephan Burgdorff
